1	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
1	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
2	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
2	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
3	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
3	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
4	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
4	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
5	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
5	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
6	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
6	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
7	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
7	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
8	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
8	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
9	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
9	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
10	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
10	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
11	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
11	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
12	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
12	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
13	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
13	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
14	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
14	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
15	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
15	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
16	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
16	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
17	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
17	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
18	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
18	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
19	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
19	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
20	pr	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
20	base	Tests run: 21, Failures: 0, Errors: 0, Skipped: 0	
DONE
