Desktop Shell (windows-2022)	pass
Classify PR	pass
Desktop Shell (ubuntu-22.04)	pass
label	pass
Lint & Static (ubuntu-latest, Node 22.x)	pass
Test (ubuntu-latest, Node 22.x)	pass
Integration Tests (no-AK, No Sandbox)	pass
Real daemon E2E / Java 11	pass
authorize	pass
assign	pass
macos-latest / Java 21	pass
route	pass
triage	pass
ubuntu-latest / Java 11	pass
ubuntu-latest / Java 17	pass
ubuntu-latest / Java 21	pass
web-shell E2E Smoke (ubuntu-latest, Node 22.x)	pass
windows-latest / Java 21	pass
