Integration Tests (CLI, No Sandbox)	skipping
Signal the reviewed fork PR	skipping
Test (macos-latest, Node 22.x)	skipping
Test (windows-latest, Node 22.x)	skipping
ack-review-request	skipping
authorize	skipping
build-cli	skipping
delay-automatic-review	skipping
Integration Tests (no-AK, No Sandbox)	pass
Classify PR	pass
precheck-pr	skipping
takeover-command	skipping
remove-suspicious-attachments	skipping
review-config	skipping
fallback-comment	skipping
publish-resolution	skipping
resolve-pr	skipping
issue-autofix	skipping
review-pr	skipping
takeover-ack	skipping
retry-command	skipping
review-scan	skipping
review-address	skipping
Desktop Shell (ubuntu-22.04)	pass
Desktop Shell (windows-2022)	pass
Lint & Static (ubuntu-latest, Node 22.x)	pass
Real daemon E2E / Java 11	pass
Remind on force-push	pass
Test (ubuntu-latest, Node 22.x)	pass
assign	pass
label	pass
macos-latest / Java 21	pass
route	pass
ubuntu-latest / Java 11	pass
ubuntu-latest / Java 17	pass
ubuntu-latest / Java 21	pass
web-shell E2E Smoke (ubuntu-latest, Node 22.x)	pass
windows-latest / Java 21	pass
